"id","name","elevation","frame_validation","app_key","device_profile_id","application_id","multicast_group_id","commissioning_date","serial_number","longitude","latitude","active","last_seen_at","surface_azimuth","tracking_max_angle","tracking_min_angle","home_position","wind_speed_threshold","table_width","ptp_spacing","inclinometer_offset","slope","yaw_angle"
AC1F09FFFE119864,TCU 01,420.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2025-02-13 13:14:13.963 -0300,"0124090101871",-48.46428,-20.913181,true,2025-04-03 09:29:25.092 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,6.5,0.0,0.0,0.0
AC1F09FFFE11972B,TCU 01 - ANTIGA 1,420.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2025-02-13 14:00:52.721 -0300,"0124090102533",-57.518192,-14.665884,false,2025-02-14 10:56:41.460 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,6.5,0.0,0.0,0.0
AC1F09FFFE119909,TCU 01 - ANTIGA 2,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:44:56.728 -0300,"0124080100334",-48.46446,-20.91362,false,2025-02-13 13:28:52.094 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE11985B,TCU 02,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:02.122 -0300,"0124090100102",-48.464476,-20.913221,true,2025-04-03 09:28:52.595 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE1199E4,TCU 03,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-31 16:07:43.851 -0300,"0124080101485",-48.464594,-20.91325,true,2025-04-03 09:20:39.286 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE119728,TCU 03 - ANTIGA 1,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:08.328 -0300,"0124090100294",-48.46463,-20.9134,false,2024-10-31 12:09:20.924 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE119914,TCU 04,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:46:41.147 -0300,"0124070100108",-48.464706,-20.913269,true,2025-04-03 09:28:36.654 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE1196E7,TCU 05,420.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2025-02-13 14:26:32.109 -0300,"0124100100498",-48.464834,-20.913293,true,2025-04-02 14:40:07.949 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,6.5,0.0,0.0,0.0
AC1F09FFFE119916,TCU 05 - ANTIGA 1,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:46:36.377 -0300,"0124080100921",-48.46484,-20.91338,false,2025-01-31 20:48:23.104 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE13A19A,TCU 06,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2025-04-01 10:07:30.115 -0300,"0225020110809",-48.464895,-20.913337,true,2025-04-03 09:30:40.372 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,6.5,0.0,0.0,0.0
